Sales Person,Industry,Q1 Quota Split,Q2 Quota Split,Q3 Quota Split,Q4 Quota Split,REVENUE SIZE,COMMISSION SPLIT (TCV),COMMISSION SPLIT(ACV)
Luu Johnson,Education,30%,25%,15%,30%,0,0%,95%
Himyar Adams,Security Hardware,20%,25%,30%,25%,0,0%,93%
Bayram Morris,Alcohol,20%,20%,30%,30%,"100,000,000",0%,100%
Cra James,Security Software,22%,28%,25%,25%,"500,000",0%,99%
Hastie Tran,Education,30%,25%,15%,30%,0,0%,98%
Halena Wright,Biotechnology,24%,26%,25%,25%,"100,000,000",0%,95%
Julietta Thomas,Other,25%,25%,25%,25%,"1,000,000,000",0%,96%
Dainen Mills,Education,30%,25%,15%,30%,"10,000,000",0%,91%
Dainen Jones,Security Hardware,20%,25%,30%,25%,"10,000,000,000",0%,93%
Harwill Moore,Technology Services,22%,28%,25%,25%,"500,000",0%,98%
Joyelle Richardson,Agriculture,15%,20%,35%,30%,"2,000,000",0%,90%
Harwill Fisher,Oil and Gas,25%,25%,25%,25%,"10,000,000",0%,95%
Lucas King,Biomedical,25%,25%,25%,25%,0,0%,100%
Julietta Graham,Fishing,30%,30%,20%,20%,"10,000,000,000",0%,91%
Ghy Ross,Agriculture,15%,20%,35%,30%,"1,000,000",0%,92%
Halena Bailey,Mining,24%,26%,25%,25%,"5,000,000",0%,97%
Gie Robertson,Insurance,25%,30%,20%,25%,"1,000,000,000",0%,98%
Adde Wright,Appliances,22%,28%,25%,25%,"100,000,000",0%,96%
Himar Walsh,Financial Services,20%,28%,25%,25%,"10,000,000,000",0%,91%
Juliann Matthews,Automotive,20%,25%,30%,25%,"100,000,000",0%,93%
Ethan Taylor,Fishing,30%,30%,20%,20%,"1,000,000,000",0%,97%
Ciji Blackman,Pharmaceuticals,25%,25%,25%,25%,"2,000,000",0%,94%
Harwill Corbyn,Financial Services,20%,28%,25%,25%,"1,000,000",0%,94%
Gon Shaw,Banking,23%,27%,25%,25%,"1,000,000,000",0%,90%
Jula Kelly,Security Hardware,20%,25%,30%,25%,"2,000,000",0%,93%
Denaye Hamilton,Oil and Gas,25%,25%,25%,25%,"100,000,000",0%,96%
Jimme Campbell,Alcohol,20%,20%,30%,30%,"10,000,000",0%,91%
Centaine James,Security Hardware,20%,25%,30%,25%,"100,000,000",0%,93%
Jonila Thomas,Fishing,30%,30%,20%,20%,"1,000,000,000",0%,100%
Alisah Fisher,Security Software,22%,28%,25%,25%,"100,000,000,000",0%,93%
Ilina White,Pharmaceuticals,25%,25%,25%,25%,"100,000,000,000",0%,93%
Juin Evans,Healthcare,24%,26%,25%,25%,"500,000",0%,94%
Aayla Ward,Travel,20%,30%,30%,20%,"5,000,000",0%,96%
Halena Collins,Technology Services,22%,28%,25%,25%,"2,000,000",0%,94%
Laniyah Murray,Security Software,22%,28%,25%,25%,"1,000,000,000",0%,99%
Daymion Parker,Construction,15%,25%,35%,25%,"1,000,000,000",0%,91%
Himyar Cox,Insurance,25%,30%,20%,25%,"10,000,000",0%,90%
Daynan Harvey,Healthcare,24%,26%,25%,25%,"1,000,000",0%,92%
Cra Morris,Technology Hardware,20%,25%,30%,25%,"10,000,000",0%,97%
Danian Kelly,Other,25%,25%,25%,25%,"10,000,000",0%,91%
Julieth McDonald,Fishing,30%,30%,20%,20%,"1,000,000,000",0%,97%
Daynan Johnson,Biotechnology,24%,26%,25%,25%,"100,000,000",0%,95%
Adami Matthews,Other,25%,25%,25%,25%,"500,000",0%,90%
Katie Conway,Education,30%,25%,15%,30%,"5,000,000",0%,98%
Lucas Richardson,Pharmaceuticals,25%,25%,25%,25%,"5,000,000",0%,99%
Teddy Martin,Automotive,20%,25%,30%,25%,"100,000,000,000",0%,89%
Sebastian Cooper,Mining,24%,26%,25%,25%,"5,000,000",0%,93%
Daniel Harris,Software,23%,27%,25%,25%,"50,000,000",0%,95%
Arabella Lee,Fishing,30%,30%,20%,20%,"10,000,000",0%,93%
Evie Hughes,Education,30%,25%,15%,30%,"1,000,000,000",0%,89%
Matthew Clarke,Security Hardware,20%,25%,30%,25%,"5,000,000",0%,93%
Ellie Lee,Biotechnology,24%,26%,25%,25%,"10,000,000,000",0%,92%
Leon King,Agriculture,15%,20%,35%,30%,"10,000,000",0%,93%
James Jones,Alcohol,20%,20%,30%,30%,"50,000,000",0%,93%
Molly Walker,Insurance,25%,30%,20%,25%,"50,000,000",0%,94%
Benjamin King,Oil and Gas,25%,25%,25%,25%,"5,000,000",0%,93%
Harrison Glazebrook,Other,25%,25%,25%,25%,"50,000,000",0%,99%
Millie Lee,Education,30%,25%,15%,30%,"1,000,000,000",0%,98%
Charlotte Evans,Medical Equipment,25%,25%,25%,25%,"100,000,000",0%,90%
Max Thomas,Automotive,20%,25%,30%,25%,"2,000,000",0%,95%
Sebastian Mitchell,Travel,20%,30%,30%,20%,"10,000,000,000",0%,96%
Benjamin Edwards,Other,25%,25%,25%,25%,"1,000,000",0%,91%
Albie Hall,Agriculture,15%,20%,35%,30%,"1,000,000,000",0%,92%
Gabriel Conway,Financial Services,20%,28%,25%,25%,"10,000,000,000",0%,88%
Noah Webb,Mining,24%,26%,25%,25%,"50,000,000",0%,100%
Ronnie Cox,Biotechnology,24%,26%,25%,25%,"1,000,000,000",0%,97%
Layla Jackson,Insurance,25%,30%,20%,25%,"5,000,000",0%,97%
Blanche Conway,Technology Services,22%,28%,25%,25%,"5,000,000",0%,92%
Thea Hill,Biotechnology,24%,26%,25%,25%,"10,000,000,000",0%,91%
Maryam Cook,Security Hardware,20%,25%,30%,25%,"1,000,000",0%,94%
Amber Baker,Education,30%,25%,15%,30%,"500,000",0%,99%
Arlo Thomas,Oil and Gas,25%,25%,25%,25%,"10,000,000",0%,88%
Mason Allen,Agriculture,15%,20%,35%,30%,"10,000,000",0%,99%
George Wilson,Oil and Gas,25%,25%,25%,25%,"10,000,000",0%,93%
Millie Robinson,Technology Services,22%,28%,25%,25%,"1,000,000",0%,95%
Molly Johnson,Technology Services,22%,28%,25%,25%,"2,000,000",0%,90%
Emma King,Banking,23%,27%,25%,25%,"2,000,000",0%,92%
Harvey Mitchell,Medical Equipment,25%,25%,25%,25%,"500,000",0%,94%
Harper Jackson,Biotechnology,24%,26%,25%,25%,"500,000",0%,91%
Mia Davies,Software,23%,27%,25%,25%,"5,000,000",94%,45%
James Jackson,Technology Services,22%,28%,25%,25%,"10,000,000",0%,93%
Georgia Wilson,Biomedical,25%,25%,25%,25%,0,0%,93%
Harvey Hughes,Other,25%,25%,25%,25%,"100,000,000,000",0%,89%
Matthew Harris,Security Software,22%,28%,25%,25%,"1,000,000,000",0%,98%
Katie Knight,Oil and Gas,25%,25%,25%,25%,"10,000,000,000",0%,94%
Gracie Williams,Financial Services,20%,28%,25%,25%,"10,000,000,000",0%,99%
Austin Cook,Construction,15%,25%,35%,25%,"1,000,000,000",0%,98%
Felix Davies,Banking,23%,27%,25%,25%,"10,000,000,000",0%,99%
Gracie Cook,Insurance,25%,30%,20%,25%,"5,000,000",0%,100%
Mason Parker,Biotechnology,24%,26%,25%,25%,"10,000,000",0%,92%
Scarlett Young,Mining,24%,26%,25%,25%,0,0%,99%
Gracie Wright,Alcohol,20%,20%,30%,30%,"1,000,000",0%,95%
Lacey Thompson,Alcohol,20%,20%,30%,30%,"10,000,000",0%,97%
Kirsten Bailey,Pharmaceuticals,25%,25%,25%,25%,"10,000,000,000",0%,92%
James Wilson,Fishing,30%,30%,20%,20%,"5,000,000",0%,98%
Dexter Jones,Financial Services,20%,28%,25%,25%,"100,000,000",0%,96%
Sienna Webb,Pharmaceuticals,25%,25%,25%,25%,"1,000,000,000",0%,90%
Freddie Turner,Insurance,25%,30%,20%,25%,"5,000,000",0%,96%
Ella Edwards,Biomedical,25%,25%,25%,25%,"1,000,000",0%,89%
Eloise Glazebrook,Medical Equipment,25%,25%,25%,25%,"100,000,000,000",0%,88%
Tommy Cook,Education,30%,25%,15%,30%,"100,000,000,000",0%,97%
Francesca Hughes,Automotive,20%,25%,30%,25%,"100,000,000,000",0%,95%
Abigail King,Travel,20%,30%,30%,20%,"100,000,000",0%,95%
Beatrice Cooper,Travel,20%,30%,30%,20%,0,0%,95%
Hannah Richardson,Oil and Gas,25%,25%,25%,25%,"100,000,000,000",0%,98%
Imogen Martin,Education,30%,25%,15%,30%,"5,000,000",0%,98%
Bart Cooper,Other,25%,25%,25%,25%,"1,000,000",0%,92%
Penelope Clarke,Healthcare,24%,26%,25%,25%,"10,000,000,000",0%,90%
Liam Jackson,Security Software,22%,28%,25%,25%,"500,000",0%,90%
Isla Davis,Automotive,20%,25%,30%,25%,"10,000,000,000",0%,97%
Louie Thomas,Oil and Gas,25%,25%,25%,25%,"50,000,000",0%,90%
Riley Carter,Construction,15%,25%,35%,25%,"1,000,000,000",0%,91%
Bethany Carter,Construction,15%,25%,35%,25%,"100,000,000,000",0%,98%
Emma Hill,Education,30%,25%,15%,30%,"1,000,000,000",0%,90%
Odessa Wood,Medical Equipment,25%,25%,25%,25%,0,0%,98%
Victoria Parker,Security Software,22%,28%,25%,25%,"100,000,000,000",0%,98%
Gabriel Roberts,Security Software,22%,28%,25%,25%,"5,000,000",0%,91%
Joshua Edwards,Fishing,30%,30%,20%,20%,"50,000,000",0%,89%
Thomas Allen,Medical Equipment,25%,25%,25%,25%,"1,000,000",0%,98%
Hugo Martin,Other,25%,25%,25%,25%,"50,000,000",0%,95%
Sofia Parker,Technology Hardware,20%,25%,30%,25%,"100,000,000,000",0%,88%
Henry Roberts,Agriculture,15%,20%,35%,30%,"500,000",0%,91%
Darcie Clark,Oil and Gas,25%,25%,25%,25%,"2,000,000",0%,99%
Evie Lewis,Banking,23%,27%,25%,25%,"1,000,000",0%,92%
Joshua Jackson,Banking,23%,27%,25%,25%,"100,000,000",0%,93%
Blanche Harris,Biomedical,25%,25%,25%,25%,"50,000,000",0%,89%
James Taylor,Banking,23%,27%,25%,25%,0,0%,96%
Daisy Mitchell,Technology Services,22%,28%,25%,25%,"1,000,000,000",0%,99%
Maddison Williams,Insurance,25%,30%,20%,25%,"100,000,000,000",0%,92%
Sophia Johnson,Biotechnology,24%,26%,25%,25%,"2,000,000",0%,91%
Robyn Edwards,Banking,23%,27%,25%,25%,"2,000,000",0%,90%
Julia Scott,Construction,15%,25%,35%,25%,"50,000,000",0%,90%
Beatrice Green,Biomedical,25%,25%,25%,25%,"2,000,000",0%,96%
Ellis Taylor,Education,30%,25%,15%,30%,"50,000,000",0%,95%
Harley Bailey,Medical Equipment,25%,25%,25%,25%,"5,000,000",0%,100%
Lucas Williams,Software,23%,27%,25%,25%,"2,000,000",91%,0%
Eliza Thomas,Banking,23%,27%,25%,25%,"10,000,000,000",0%,89%
Ezra Wood,Pharmaceuticals,25%,25%,25%,25%,"500,000",0%,98%
Summer White,Travel,20%,30%,30%,20%,"50,000,000",0%,98%
Lexi Thomas,Insurance,25%,30%,20%,25%,"1,000,000",0%,95%
Teddy Smith,Insurance,25%,30%,20%,25%,0,0%,97%
Riley Jones,Agriculture,15%,20%,35%,30%,0,0%,89%
Tyler Carter,Mining,24%,26%,25%,25%,"1,000,000",0%,97%
Ellie Fournier,Financial Services,20%,28%,25%,25%,"500,000",0%,97%
Thomas Macdonald,Healthcare,24%,26%,25%,25%,"100,000,000",0%,95%
Asher Green,Automotive,20%,25%,30%,25%,"10,000,000,000",0%,99%
Charlie Bouchard,Travel,20%,30%,30%,20%,"100,000,000,000",0%,93%
Caleb Morrison,Education,30%,25%,15%,30%,"1,000,000,000",0%,98%
Zoe Macdonald,Fishing,30%,30%,20%,20%,"1,000,000",0%,97%
Nathan Park,Insurance,25%,30%,20%,25%,"10,000,000",0%,98%
Claire Leclerc,Automotive,20%,25%,30%,25%,"10,000,000,000",0%,88%
Daniel Robinson,Banking,23%,27%,25%,25%,"5,000,000",0%,93%
Sophie Boucher,Banking,23%,27%,25%,25%,"2,000,000",0%,93%
Myles Johnson,Travel,20%,30%,30%,20%,"1,000,000,000",0%,95%
Sebastian Lee,Software,23%,27%,25%,25%,"100,000,000,000",0%,93%
Sophia     Nadeau,Insurance,25%,30%,20%,25%,"500,000",0%,97%
Jackson Fortin,Healthcare,24%,26%,25%,25%,"1,000,000",0%,94%
Charlie Ross,Healthcare,24%,26%,25%,25%,"1,000,000,000",0%,92%
Elliot Lee,Mining,24%,26%,25%,25%,"2,000,000",0%,97%
Victoria Robertson,Technology Hardware,20%,25%,30%,25%,"50,000,000",0%,99%
Sophie Allen,Software,23%,27%,25%,25%,"10,000,000",0%,100%
Jacob Brown,Alcohol,20%,20%,30%,30%,"500,000",0%,99%
Grace Payne,Other,25%,25%,25%,25%,"10,000,000",0%,91%
Charlie Huppe,Financial Services,20%,28%,25%,25%,0,0%,96%
Nora Peters,Appliances,22%,28%,25%,25%,"10,000,000",0%,93%
Luca Martel,Technology Services,22%,28%,25%,25%,"1,000,000",0%,91%
Layla Macdonald,Construction,15%,25%,35%,25%,"50,000,000",0%,89%
Myles Huppe,Software,23%,27%,25%,25%,"100,000,000,000",0%,93%
Lily Desjardins,Software,23%,27%,25%,25%,"100,000,000",0%,89%
Samuel Ouellet,Alcohol,20%,20%,30%,30%,"500,000",0%,98%
Brooklyn Richard,Alcohol,20%,20%,30%,30%,"2,000,000",0%,94%
Myles Morin,Pharmaceuticals,25%,25%,25%,25%,"2,000,000",0%,88%
Alexander  Baker,Oil and Gas,25%,25%,25%,25%,"10,000,000,000",0%,95%
Peyton Reid,Automotive,20%,25%,30%,25%,"2,000,000",0%,92%
Lyla Jackson,Automotive,20%,25%,30%,25%,"10,000,000",0%,97%
Gabriel  Gaboury,Oil and Gas,25%,25%,25%,25%,"2,000,000",0%,92%
Isla Harris,Banking,23%,27%,25%,25%,0,0%,94%
Avery Pelletier,Other,25%,25%,25%,25%,"5,000,000",0%,99%
Mia Cloutier,Biotechnology,24%,26%,25%,25%,"1,000,000,000",0%,95%
Mia Pelletier,Pharmaceuticals,25%,25%,25%,25%,"100,000,000",0%,98%
Avery Lapointe,Software,23%,27%,25%,25%,"100,000,000",0%,90%
Isabella Ross,Technology Services,22%,28%,25%,25%,"500,000",0%,98%
Noah Lefebre,Education,30%,25%,15%,30%,"500,000",0%,91%
​​Lucy Poirier,Security Software,22%,28%,25%,25%,0,0%,95%
Jayden  Robertson,Oil and Gas,25%,25%,25%,25%,"100,000,000",0%,98%
Lyla Green,Financial Services,20%,28%,25%,25%,"100,000,000",0%,98%
Everly Hamilton,Education,30%,25%,15%,30%,"500,000",0%,94%
Isla Peters,Healthcare,24%,26%,25%,25%,"5,000,000",0%,99%
Nathan Nadeau,Oil and Gas,25%,25%,25%,25%,"5,000,000",0%,97%
Olivia Morrison,Healthcare,24%,26%,25%,25%,"100,000,000,000",0%,93%
Charlotte Desjardins,Construction,15%,25%,35%,25%,"100,000,000,000",0%,97%
Noah Bell,Security Software,22%,28%,25%,25%,"10,000,000,000",0%,98%
Violet Barbeau,Mining,24%,26%,25%,25%,"10,000,000,000",0%,95%
Alice Michaud,Security Hardware,20%,25%,30%,25%,"500,000",0%,98%
Audrey Allen,Appliances,22%,28%,25%,25%,"100,000,000,000",0%,98%
Felix Fortin,Insurance,25%,30%,20%,25%,"50,000,000",0%,96%
Nathan Fraser,Travel,20%,30%,30%,20%,"50,000,000",0%,94%
Madison Graham,Technology Hardware,20%,25%,30%,25%,"10,000,000",0%,99%
Noah Reid,Education,30%,25%,15%,30%,"10,000,000,000",0%,98%
Sebastian Graham,Banking,23%,27%,25%,25%,"500,000",0%,98%
Harper Powell,Mining,24%,26%,25%,25%,"100,000,000,000",0%,89%
Nathan Grant,Fishing,30%,30%,20%,20%,"5,000,000",0%,97%
Audrey Michaud,Medical Equipment,25%,25%,25%,25%,"1,000,000,000",0%,98%
Nathan Hall,Security Hardware,20%,25%,30%,25%,"100,000,000",0%,98%
Gabriel  Bouchard,Travel,20%,30%,30%,20%,"100,000,000",0%,90%
Riley Landry,Insurance,25%,30%,20%,25%,"5,000,000",0%,93%
Abigail Fortin,Travel,20%,30%,30%,20%,"10,000,000",0%,97%
Abigail Miller,Financial Services,20%,28%,25%,25%,"10,000,000,000",0%,94%
Emily Leblanc,Fishing,30%,30%,20%,20%,"10,000,000,000",0%,96%
Noah Bell,Biomedical,25%,25%,25%,25%,0,0%,99%
Lucas Bouchard,Banking,23%,27%,25%,25%,"1,000,000",0%,93%
Hunter Jackson,Oil and Gas,25%,25%,25%,25%,"10,000,000",0%,93%
Peyton Davis,Technology Services,22%,28%,25%,25%,"2,000,000",0%,94%
Liam Parsons,Biomedical,25%,25%,25%,25%,"100,000,000,000",0%,90%
Aria Ouellet,Other,25%,25%,25%,25%,"2,000,000",0%,92%
Noah Gaboury,Appliances,22%,28%,25%,25%,"500,000",0%,99%
Amelia Gagne,Agriculture,15%,20%,35%,30%,"10,000,000,000",0%,92%
Harper Leblanc,Biotechnology,24%,26%,25%,25%,"100,000,000",0%,94%
Austin Desjardins,Technology Hardware,20%,25%,30%,25%,"2,000,000",95%,0%
Kayden Adams,Oil and Gas,25%,25%,25%,25%,"10,000,000",0%,89%
Caleb Hill,Technology Services,22%,28%,25%,25%,0,0%,93%
​​Lucy Huppe,Other,25%,25%,25%,25%,"10,000,000",0%,91%
Nathan Fraser,Insurance,25%,30%,20%,25%,"5,000,000",0%,89%
Jackson Cloutier,Healthcare,24%,26%,25%,25%,"500,000",0%,88%
Violet Huppe,Oil and Gas,25%,25%,25%,25%,"100,000,000",0%,94%
Elijah Michaud,Biotechnology,24%,26%,25%,25%,"500,000",0%,90%
Logan Richard,Alcohol,20%,20%,30%,30%,"10,000,000,000",0%,92%
Lincoln  Boucher,Construction,15%,25%,35%,25%,"1,000,000",0%,97%
Zoe Jackson,Security Hardware,20%,25%,30%,25%,"100,000,000",0%,93%
Julia Kennedy,Security Software,22%,28%,25%,25%,"100,000,000,000",0%,99%
Jayden  Jackson,Automotive,20%,25%,30%,25%,0,0%,89%
Lincoln  Clark,Agriculture,15%,20%,35%,30%,"500,000",0%,88%
Avery Russell,Technology Hardware,20%,25%,30%,25%,0,88%,0%
Myles Barbeau,Travel,20%,30%,30%,20%,"5,000,000",0%,93%
Noah Hall,Mining,24%,26%,25%,25%,"10,000,000,000",0%,94%
Jayden  Davis,Travel,20%,30%,30%,20%,"50,000,000",0%,93%
Aubrey Peters,Technology Services,22%,28%,25%,25%,"1,000,000,000",0%,91%
Luca Harris,Technology Services,22%,28%,25%,25%,"100,000,000,000",0%,92%
Grayson Cote,Travel,20%,30%,30%,20%,"100,000,000,000",0%,96%
Mila Hebert,Software,23%,27%,25%,25%,"5,000,000",96%,48%
Elijah Macdonald,Healthcare,24%,26%,25%,25%,"5,000,000",0%,94%
Elliot Murphy,Banking,23%,27%,25%,25%,"1,000,000,000",0%,92%
James Baker,Mining,24%,26%,25%,25%,"100,000,000",0%,94%
Xiulan Xú,Insurance,25%,30%,20%,25%,"500,000",0%,89%
Wu Yǐn,Medical Equipment,25%,25%,25%,25%,"50,000,000",0%,95%
Yuze Tán,Education,30%,25%,15%,30%,"1,000,000,000",0%,95%
Hai Yǐn,Healthcare,24%,26%,25%,25%,"100,000,000,000",0%,92%
Rong Lú,Education,30%,25%,15%,30%,"10,000,000,000",0%,100%
De Xiāo,Biomedical,25%,25%,25%,25%,"500,000",0%,90%
Zihan Xià,Financial Services,20%,28%,25%,25%,"500,000",0%,89%
Yin Chén,Healthcare,24%,26%,25%,25%,"1,000,000",0%,99%
Dong Shào,Technology Hardware,20%,25%,30%,25%,"50,000,000",0%,88%
Chang Zhōng,Financial Services,20%,28%,25%,25%,"2,000,000",0%,88%
Cheng Dài,Financial Services,20%,28%,25%,25%,"50,000,000",0%,96%
Xiu Wáng,Biotechnology,24%,26%,25%,25%,"2,000,000",0%,89%
Gang Yǐn,Alcohol,20%,20%,30%,30%,"1,000,000",0%,98%
Ping Táo,Healthcare,24%,26%,25%,25%,"100,000,000,000",0%,97%
He Sūn,Other,25%,25%,25%,25%,"1,000,000,000",0%,99%
Chang Gù,Medical Equipment,25%,25%,25%,25%,"5,000,000",0%,99%
Ya Yán,Biotechnology,24%,26%,25%,25%,"1,000,000,000",0%,99%
An Ni Zhū,Appliances,22%,28%,25%,25%,"50,000,000",0%,88%
Gang Dǒng,Technology Services,22%,28%,25%,25%,"2,000,000",0%,90%
Ping Huáng,Technology Services,22%,28%,25%,25%,"50,000,000",0%,94%
Aiguo Pān,Biotechnology,24%,26%,25%,25%,"100,000,000",0%,99%
Xiang Zōu,Mining,24%,26%,25%,25%,"50,000,000",0%,88%
Fang Yè,Biomedical,25%,25%,25%,25%,"500,000",0%,100%
Mei-hui Xú,Agriculture,15%,20%,35%,30%,"10,000,000",0%,98%
Chia-Hao Yáng,Insurance,25%,30%,20%,25%,"2,000,000",0%,93%
Jing Wàn,Education,30%,25%,15%,30%,"500,000",0%,99%
Fu Lù,Agriculture,15%,20%,35%,30%,"100,000,000",0%,89%
Caihong Xiāo,Travel,20%,30%,30%,20%,"100,000,000",0%,98%
Qiang Bái,Medical Equipment,25%,25%,25%,25%,"100,000,000,000",0%,88%
Fen Lín,Appliances,22%,28%,25%,25%,"5,000,000",0%,91%
Chen Lóng,Security Hardware,20%,25%,30%,25%,0,0%,88%
Jin Qín,Technology Hardware,20%,25%,30%,25%,0,94%,0%
Wei Mèng,Biomedical,25%,25%,25%,25%,"50,000,000",0%,94%
An Na Yáng,Banking,23%,27%,25%,25%,"2,000,000",0%,89%
Wen Xià,Construction,15%,25%,35%,25%,"100,000,000,000",0%,97%
Ling Léi,Security Software,22%,28%,25%,25%,0,0%,96%
Yawen Yán,Software,23%,27%,25%,25%,0,92%,0%
Aiguo Lǚ,Technology Services,22%,28%,25%,25%,"10,000,000,000",0%,96%
Shi Zēng,Agriculture,15%,20%,35%,30%,"2,000,000",0%,99%
Shun Rèn,Medical Equipment,25%,25%,25%,25%,"2,000,000",0%,99%
Shufen Cáo,Financial Services,20%,28%,25%,25%,"500,000",0%,97%
Ping Lǐ,Automotive,20%,25%,30%,25%,"100,000,000",0%,88%
Tao Pān,Software,23%,27%,25%,25%,0,99%,0%
Hai Fàn,Oil and Gas,25%,25%,25%,25%,"5,000,000",0%,88%
Ju Xiāo,Mining,24%,26%,25%,25%,"50,000,000",0%,97%
Huan Xióng,Pharmaceuticals,25%,25%,25%,25%,"50,000,000",0%,96%
Shu-hui Dèng,Banking,23%,27%,25%,25%,"500,000",0%,90%
Bao Jīn,Mining,24%,26%,25%,25%,"5,000,000",0%,93%
Cheng Zōu,Security Software,22%,28%,25%,25%,"10,000,000,000",0%,90%
Kun Liú,Oil and Gas,25%,25%,25%,25%,"2,000,000",0%,99%
Wen Wèi,Technology Services,22%,28%,25%,25%,"5,000,000",0%,99%
Shu-hui Wú,Agriculture,15%,20%,35%,30%,"1,000,000",0%,99%
Shi Sūn,Biomedical,25%,25%,25%,25%,"2,000,000",0%,98%
Li Cài,Security Hardware,20%,25%,30%,25%,"50,000,000",0%,93%
Hai Zēng,Pharmaceuticals,25%,25%,25%,25%,"1,000,000",0%,92%
Gang Tián,Security Hardware,20%,25%,30%,25%,"5,000,000",0%,95%
Wen Tián,Travel,20%,30%,30%,20%,"50,000,000",0%,92%
Jin Duàn,Banking,23%,27%,25%,25%,"1,000,000",0%,88%
Yun Xuē,Travel,20%,30%,30%,20%,"100,000,000",0%,96%
Zhen Sòng,Automotive,20%,25%,30%,25%,0,0%,90%
Bai Dài,Banking,23%,27%,25%,25%,"100,000,000",0%,97%
Chen Lí,Technology Hardware,20%,25%,30%,25%,"100,000,000,000",0%,89%
Ya-ting Xiè,Construction,15%,25%,35%,25%,"10,000,000,000",0%,89%
Hui Jiāng,Mining,24%,26%,25%,25%,"2,000,000",0%,91%
Xue Duàn,Education,30%,25%,15%,30%,"50,000,000",0%,97%
Su Hè,Insurance,25%,30%,20%,25%,0,0%,98%
Wei Wǔ,Technology Services,22%,28%,25%,25%,"1,000,000,000",0%,91%
Zihan Cháng,Biotechnology,24%,26%,25%,25%,"50,000,000",0%,99%
Aiguo Gù,Technology Services,22%,28%,25%,25%,"50,000,000",0%,91%
Meiling Xiè,Medical Equipment,25%,25%,25%,25%,"5,000,000",0%,94%
Xiuying Fāng,Agriculture,15%,20%,35%,30%,"1,000,000,000",0%,88%
Chun Yú,Construction,15%,25%,35%,25%,"500,000",0%,96%
Zhen Dài,Automotive,20%,25%,30%,25%,"100,000,000",0%,100%
Chih-Cheng Xiāo,Medical Equipment,25%,25%,25%,25%,"50,000,000",0%,91%
Guo Tián,Education,30%,25%,15%,30%,"100,000,000,000",0%,91%
Hong Hú,Alcohol,20%,20%,30%,30%,"10,000,000",0%,90%
Lin Shí,Security Software,22%,28%,25%,25%,"1,000,000",0%,99%
Rong Xiāo,Medical Equipment,25%,25%,25%,25%,"10,000,000,000",0%,90%
Fang Féng,Pharmaceuticals,25%,25%,25%,25%,"1,000,000",0%,97%
Chih-Cheng Rèn,Automotive,20%,25%,30%,25%,"10,000,000",0%,100%
Dong Zēng,Fishing,30%,30%,20%,20%,"10,000,000,000",0%,95%
Chih-Ming Wàn,Construction,15%,25%,35%,25%,"1,000,000,000",0%,99%
Jing Jiǎ,Agriculture,15%,20%,35%,30%,"100,000,000",0%,99%
Gang Zhū,Software,23%,27%,25%,25%,"100,000,000",0%,96%
Su Hé,Medical Equipment,25%,25%,25%,25%,"10,000,000",0%,99%
Yuze Fàn,Security Software,22%,28%,25%,25%,"100,000,000",0%,88%
Yun Hóu,Construction,15%,25%,35%,25%,"10,000,000",0%,89%
Ming Yú,Pharmaceuticals,25%,25%,25%,25%,"5,000,000",0%,94%
Li Dù,Pharmaceuticals,25%,25%,25%,25%,"100,000,000",0%,93%
Meilin Lǐ,Alcohol,20%,20%,30%,30%,"1,000,000,000",0%,92%
Hong Duàn,Agriculture,15%,20%,35%,30%,0,0%,94%
Xiuying Zēng,Software,23%,27%,25%,25%,"5,000,000",92%,49%
Qiu Sòng,Security Hardware,20%,25%,30%,25%,"50,000,000",0%,99%
Huang Yáng,Travel,20%,30%,30%,20%,"500,000",0%,88%
Chih-Cheng Hǎo,Technology Hardware,20%,25%,30%,25%,"1,000,000,000",0%,88%
Kai Wéi,Alcohol,20%,20%,30%,30%,"100,000,000,000",0%,92%
Shi Qián,Travel,20%,30%,30%,20%,"1,000,000",0%,92%
Xiang Hú,Insurance,25%,30%,20%,25%,"100,000,000",0%,100%
Yan Fàn,Software,23%,27%,25%,25%,"50,000,000",0%,96%
Su Gōng,Insurance,25%,30%,20%,25%,"10,000,000",0%,97%
Lars Vervloet,Automotive,20%,25%,30%,25%,"500,000",0%,99%
Markus De Witte,Technology Hardware,20%,25%,30%,25%,"2,000,000",99%,0%
Fleur Leeuwenhoek,Alcohol,20%,20%,30%,30%,"2,000,000",0%,98%
Marit Langenberg,Fishing,30%,30%,20%,20%,"1,000,000,000",0%,91%
Andries Rooijakkers,Healthcare,24%,26%,25%,25%,"1,000,000",0%,94%
Meese Bouwmeester,Technology Services,22%,28%,25%,25%,"10,000,000",0%,90%
Aart Arbeid,Biotechnology,24%,26%,25%,25%,0,0%,90%
Daffodil Ververs,Banking,23%,27%,25%,25%,"10,000,000",0%,93%
Skylar Baaiman,Security Software,22%,28%,25%,25%,"5,000,000",0%,96%
Famke Hummel,Pharmaceuticals,25%,25%,25%,25%,"5,000,000",0%,98%
Daffodil Van Der Veen,Other,25%,25%,25%,25%,"10,000,000,000",0%,92%
Van Kappel,Banking,23%,27%,25%,25%,"10,000,000",0%,91%
Aleid Ververs,Technology Services,22%,28%,25%,25%,"1,000,000,000",0%,100%
Dael Rademaker,Banking,23%,27%,25%,25%,"100,000,000,000",0%,96%
